seed,variant,pooled_rmse,region_balanced_rmse,pooled_wmape,pooled_mae,final_mse,tail_slope_per_epoch
0,Full PIKA,0.9331802718349521,0.6483077820009989,0.4713347137098366,0.7056141721170682,0.3209425210952759,-1.4910101890563965e-06
0,No physics prior,0.9040855821503703,0.635160961201128,0.45585122598317984,0.6824345334103474,0.333699107170105,-1.4585256576538085e-06
0,No Lyapunov reg.,0.9331802718349521,0.6483077820009989,0.4713347137098366,0.7056141721170682,0.3209425210952759,-1.4910101890563965e-06
0,No quantile loss,0.8686455746621483,0.5875019269509348,0.4339756643184393,0.6496856059821753,0.3135923147201538,-1.2993812561035157e-06
0,PIKA (large 48/96),0.8781258918854203,0.6614060903639102,0.4528924925700258,0.6780051456162562,0.2635115385055542,-3.300905227661133e-06
0,No residual learning,0.8722465030654215,0.6087281246423956,0.432596044787497,0.6476202391317257,0.28457748889923096,-1.1324882507324219e-06
1,Full PIKA,0.8268437214380167,0.5940673522609384,0.41384981521959024,0.6195560951760182,0.31848621368408203,-1.3965368270874023e-06
1,No physics prior,0.8262028706936366,0.5975282963804323,0.414486910844541,0.6205098626132195,0.32879766821861267,-1.2931227684020996e-06
1,No Lyapunov reg.,0.8268437214380167,0.5940673522609384,0.41384981521959024,0.6195560951760182,0.31848621368408203,-1.3965368270874023e-06
1,No quantile loss,0.8109013600163261,0.5960982380875968,0.40950746489076884,0.6130553562251421,0.328111857175827,-1.202225685119629e-06
1,PIKA (large 48/96),0.7969189668445673,0.6043121669387108,0.41172488306165705,0.6163749540425264,0.26722756028175354,-3.342628479003906e-06
1,No residual learning,0.8999129560387089,0.6247570691678326,0.46866704002510534,0.7016205168572756,0.2851778268814087,-1.1610984802246094e-06
2,Full PIKA,0.8336795288878521,0.5801414091896797,0.41106433941555537,0.6153860836189526,0.3191918134689331,-1.335442066192627e-06
2,No physics prior,0.8265875604209081,0.5797978931354353,0.41093013432878595,0.6151851711708766,0.3301258385181427,-1.3664364814758301e-06
2,No Lyapunov reg.,0.8336795288878521,0.5801414091896797,0.41106433941555537,0.6153860836189526,0.3191918134689331,-1.335442066192627e-06
2,No quantile loss,0.8486213729241934,0.5819361491210332,0.4218031118643403,0.6314626207603858,0.3278985917568207,-1.4007091522216797e-06
2,PIKA (large 48/96),0.8518441289972698,0.6574257547882469,0.4342852407861656,0.6501490591007929,0.2622895836830139,-2.931356430053711e-06
2,No residual learning,0.8614476953729288,0.5923866296665772,0.437985795316564,0.6556889941944526,0.30627092719078064,-1.087188720703125e-06
3,Full PIKA,0.7999558822634684,0.6074188567288261,0.3994339855550816,0.5979747997224331,0.32530081272125244,-1.34199857711792e-06
3,No physics prior,0.7987217812258692,0.6101358513120984,0.3976270398851736,0.5952697019737501,0.32904911041259766,-1.2689828872680664e-06
3,No Lyapunov reg.,0.7999558822634684,0.6074188567288261,0.3994339855550816,0.5979747997224331,0.32530081272125244,-1.34199857711792e-06
3,No quantile loss,0.8123039960719879,0.6254814091538875,0.4049921562207171,0.6062956890578454,0.3260471224784851,-1.4799833297729491e-06
3,PIKA (large 48/96),0.8324032054616436,0.6058061557135197,0.41949188334007725,0.6280025836481498,0.2699178159236908,-3.235042095184326e-06
3,No residual learning,0.8681846485628281,0.6275263358488696,0.446297791699445,0.6681325131540115,0.29717662930488586,-1.112222671508789e-06
4,Full PIKA,0.8294321020826222,0.6144640530843191,0.4176824847546007,0.6252938137490016,0.3376794159412384,-1.183152198791504e-06
4,No physics prior,0.8405130627241567,0.6212886805285509,0.42137201790238116,0.6308172492224436,0.3365655839443207,-1.2287497520446776e-06
4,No Lyapunov reg.,0.8294321020826222,0.6144640530843191,0.4176824847546007,0.6252938137490016,0.3376794159412384,-1.183152198791504e-06
4,No quantile loss,0.8793296143237213,0.6322348231092246,0.43704371916735946,0.6542786540205662,0.3333240747451782,-1.316070556640625e-06
4,PIKA (large 48/96),0.8262896185599999,0.5991643441629865,0.4253152986744216,0.6367205589436568,0.26872822642326355,-2.904832363128662e-06
4,No residual learning,0.9062758738740255,0.6027636523282219,0.4574993692051792,0.6849018950989613,0.28740784525871277,-1.3184547424316407e-06
