variant,mean_delta,sd_delta,ci_lo,ci_hi,resolved,wins_vs_full,n_seeds
No physics prior,-0.005396129858394105,0.014798034338399412,-0.01795045422578876,0.004983362484012077,False,4,5
No Lyapunov reg.,0.0,0.0,0.0,0.0,False,0,5
No quantile loss,-0.0006579177017069116,0.04266795663627252,-0.03537929572213587,0.029219657822025225,False,2,5
PIKA (large 48/96),-0.007501938951602094,0.035488508462210695,-0.0353846588665254,0.01961627261851271,False,3,5
No residual learning,0.03699523408140026,0.058180755799719715,-0.01563787360642237,0.07361095581671018,False,1,5
