seed,variant,n_params,n_params_pika,iid_pooled_rmse,iid_region_balanced_rmse,iid_pooled_wmape,iid_pooled_mae,iid_n_glaciers,ood_pooled_rmse,ood_region_balanced_rmse,ood_pooled_wmape,ood_pooled_mae,ood_n_glaciers,pika_iid_pooled_rmse,delta_vs_pika_iid,final_mse,tail_slope_per_epoch,seconds
0,Residual MLP (no K),5580,5852,0.7428871952296998,0.5261170519463609,0.37760024878673876,0.5652884864807128,65,0.7845976401978878,0.6748622772949082,0.5959476749395539,0.6116886359204848,15,0.933180271834952,-0.1902930766052522,0.283721923828125,-1.040554747655387e-06,12.870536804199219
1,Residual MLP (no K),5580,5852,0.7731369312624201,0.5340850548411058,0.38853145647549536,0.5816531098347444,65,0.9224191566917322,0.8068096350346293,0.7047224408942716,0.7233365053683519,15,0.8268437214380167,-0.05370679017559654,0.2810590863227844,-9.9277821812041e-07,13.329044103622437
2,Residual MLP (no K),5580,5852,0.8435281471073097,0.6013968976233343,0.4349166573883195,0.6510943247263248,65,0.833940210969006,0.699402647004241,0.6279065723328209,0.6444916741301616,15,0.8336795288878521,0.009848618219457594,0.272369921207428,-9.150872386476016e-07,23.802463054656982
3,Residual MLP (no K),5580,5852,0.8317503585135,0.601429912876066,0.4219638273726186,0.6317032207777867,65,0.866006425936266,0.6968797711389405,0.6374420476739412,0.6542790131022532,15,0.7999558822634684,0.03179447625003162,0.29223597049713135,-7.925994253874668e-07,16.316282033920288
4,Residual MLP (no K),5580,5852,0.8340577753110459,0.5796126946756734,0.4160626573696137,0.6228688424367171,65,0.7561588364508973,0.6262253796060879,0.5463904867640531,0.5608224775145452,15,0.8294321020826222,0.004625673228423666,0.2790154814720154,-9.572014163451045e-07,19.26405692100525
